ec_time,ec_mem,overall_lat,emu_startup,rewind,emu_reset,replay,rewind_injections,pkt_lat,drop_lat,timeout,arity,update_pct,procs,drop_method,num_nodes,num_links,num_updates,total_conn,invariant,independent_cec,violated,total_time,total_mem
598772,140572,28314,1,7,0,0,-1,73,0,179,6,50,4,dropmon,312,428,52,934,1,53,True,885124,142832
598772,140572,340175,1,333139,333132,0,0,0,76,164,6,50,4,dropmon,312,428,52,934,1,53,True,885124,142832
618663,140704,197034,178795,22,0,0,-1,104,0,181,6,50,4,dropmon,312,428,52,934,1,53,True,885124,142832
618663,140704,29586,0,6,0,0,-1,67,0,203,6,50,4,dropmon,312,428,52,934,1,53,True,885124,142832
618663,140704,355848,0,336790,336786,0,0,0,74,182,6,50,4,dropmon,312,428,52,934,1,53,True,885124,142832
619176,140648,203643,183617,16,0,0,-1,110,0,181,6,50,4,dropmon,312,428,52,934,1,53,True,885124,142832
619176,140648,23076,1,6,0,0,-1,57,0,209,6,50,4,dropmon,312,428,52,934,1,53,True,885124,142832
619176,140648,356995,0,337678,337674,0,0,0,51,196,6,50,4,dropmon,312,428,52,934,1,53,True,885124,142832
619137,140820,194493,167567,47,0,0,-1,73,0,181,6,50,4,dropmon,312,428,52,934,1,53,True,885124,142832
619137,140820,28570,0,3,0,0,-1,63,0,167,6,50,4,dropmon,312,428,52,934,1,53,True,885124,142832
619137,140820,359925,1,340918,340912,0,0,0,51,152,6,50,4,dropmon,312,428,52,934,1,53,True,885124,142832
220984,141588,164908,141173,17,0,0,-1,54,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
220984,141588,28785,0,1,0,0,-1,49,0,212,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
189880,141656,140996,126384,23,0,0,-1,78,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
189880,141656,23432,0,6,0,0,-1,56,0,196,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
192490,141604,134085,115022,25,0,0,-1,71,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
192490,141604,27591,0,2,0,0,-1,60,0,205,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
254102,141848,198901,167680,25,0,0,-1,133,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
254102,141848,24043,0,4,0,0,-1,59,0,242,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
233604,141504,169233,139656,18,0,0,-1,123,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
233604,141504,37259,1,4,0,0,-1,124,0,230,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
261700,141604,218525,204467,18,0,0,-1,84,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
261700,141604,12561,0,4,0,0,-1,64,0,193,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
180663,141588,132568,113333,24,0,0,-1,78,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
180663,141588,26528,0,1,0,0,-1,64,0,196,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
219483,141604,164722,148797,20,0,0,-1,66,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
219483,141604,29615,0,2,0,0,-1,60,0,209,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
267353,141584,215498,150934,19,0,0,-1,206,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
267353,141584,29415,0,4,0,0,-1,103,0,326,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
308043,141540,203868,180213,19,0,0,-1,104,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
308043,141540,76053,1,3,0,0,-1,229,0,211,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
212759,141796,170077,153483,17,0,0,-1,80,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
212759,141796,16929,1,3,0,0,-1,97,0,197,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
246928,141588,188004,166799,21,0,0,-1,81,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
246928,141588,27162,0,3,0,0,-1,84,0,197,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
393930,141716,337073,261127,13,0,0,-1,203,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
393930,141716,25147,1,4,0,0,-1,138,0,326,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
335943,141656,271746,227612,35,0,0,-1,150,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
335943,141656,37068,0,4,0,0,-1,85,0,260,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
