inv_time,inv_memory,network,procs,drop_method,num_nodes,num_links,num_updates,total_conn,invariant,independent_cec,violated,total_time,total_mem
60895,14844,network-all,1,timeout,236,524,0,7349,149,3606,True,112994761,149340
57182,14844,network-all,1,timeout,236,524,0,7349,68,3606,True,112994761,149340
56605,14844,network-all,1,timeout,236,524,0,7349,16,3606,True,112994761,149340
69580,14844,network-all,1,timeout,236,524,0,7349,503,3606,True,112994761,149340
75437,14844,network-all,1,timeout,236,524,0,7349,997,3606,True,112994761,149340
65410,14844,network-all,1,timeout,236,524,0,7349,971,3606,True,112994761,149340
58819,14844,network-all,1,timeout,236,524,0,7349,618,3606,True,112994761,149340
60247,14844,network-all,1,timeout,236,524,0,7349,943,3606,True,112994761,149340
58636,14844,network-all,1,timeout,236,524,0,7349,285,3606,True,112994761,149340
60470,14844,network-all,1,timeout,236,524,0,7349,195,3606,True,112994761,149340
64418,14844,network-all,1,timeout,236,524,0,7349,410,3606,True,112994761,149340
61230,14844,network-all,1,timeout,236,524,0,7349,600,3606,True,112994761,149340
58479,14844,network-all,1,timeout,236,524,0,7349,264,3606,True,112994761,149340
58294,14844,network-all,1,timeout,236,524,0,7349,121,3606,True,112994761,149340
60531,14844,network-all,1,timeout,236,524,0,7349,881,3606,True,112994761,149340
57016,14844,network-all,1,timeout,236,524,0,7349,22,3606,True,112994761,149340
647302,14844,network-all,1,timeout,236,524,0,7349,1055,3606,True,112994761,149340
58894,14844,network-all,1,timeout,236,524,0,7349,186,3606,True,112994761,149340
58313,14844,network-all,1,timeout,236,524,0,7349,132,3606,True,112994761,149340
56748,14844,network-all,1,timeout,236,524,0,7349,5,3606,True,112994761,149340
59584,14844,network-all,1,timeout,236,524,0,7349,936,3606,True,112994761,149340
65529,14844,network-all,1,timeout,236,524,0,7349,641,3606,True,112994761,149340
62886,14844,network-all,1,timeout,236,524,0,7349,930,3606,True,112994761,149340
60256,14844,network-all,1,timeout,236,524,0,7349,1001,3606,True,112994761,149340
704577,14844,network-all,1,timeout,236,524,0,7349,1025,3606,True,112994761,149340
72914,14844,network-all,1,timeout,236,524,0,7349,904,3606,True,112994761,149340
60367,14844,network-all,1,timeout,236,524,0,7349,900,3606,True,112994761,149340
57975,14844,network-all,1,timeout,236,524,0,7349,151,3606,True,112994761,149340
60185,14844,network-all,1,timeout,236,524,0,7349,679,3606,True,112994761,149340
66738,14844,network-all,1,timeout,236,524,0,7349,447,3606,True,112994761,149340
56898,14844,network-all,1,timeout,236,524,0,7349,899,3606,True,112994761,149340
57410,14844,network-all,1,timeout,236,524,0,7349,344,3606,True,112994761,149340
58419,14844,network-all,1,timeout,236,524,0,7349,757,3606,True,112994761,149340
61435,14844,network-all,1,timeout,236,524,0,7349,796,3606,True,112994761,149340
57992,14844,network-all,1,timeout,236,524,0,7349,222,3606,True,112994761,149340
60002,14844,network-all,1,timeout,236,524,0,7349,591,3606,True,112994761,149340
59948,14844,network-all,1,timeout,236,524,0,7349,613,3606,True,112994761,149340
71393,14844,network-all,1,timeout,236,524,0,7349,956,3606,True,112994761,149340
60101,14844,network-all,1,timeout,236,524,0,7349,432,3606,True,112994761,149340
60333,14844,network-all,1,timeout,236,524,0,7349,773,3606,True,112994761,149340
