inv_time,inv_memory,network,emulated_pct,fw_leaves_pct,invariants,procs,drop_method,num_nodes,num_links,num_updates,total_conn,invariant,independent_cec,violated,total_time,total_mem
304474,10120,rocketfuel-bb-AS-1755,20,20,16,1,timeout,87,161,0,22701,3,1,False,6327657,144472
394242,886972,as-733,8,20,16,1,timeout,1470,3131,0,441471,16,1,False,25099474,892224
415883,886972,as-733,8,20,16,1,timeout,1470,3131,0,441471,5,1,False,25099474,892224
4442411,886972,as-733,8,20,16,1,timeout,1470,3131,0,441471,4,1,False,25099474,892224
854462,886972,as-733,8,20,16,1,timeout,1470,3131,0,441471,1,1,False,25099474,892224
784726,886972,as-733,8,20,16,1,timeout,1470,3131,0,441471,9,1,False,25099474,892224
813302,886972,as-733,8,20,16,1,timeout,1470,3131,0,441471,8,1,False,25099474,892224
4315474,886972,as-733,8,20,16,1,timeout,1470,3131,0,441471,12,1,False,25099474,892224
391261,886972,as-733,8,20,16,1,timeout,1470,3131,0,441471,15,1,False,25099474,892224
1185473,886972,as-733,8,20,16,1,timeout,1470,3131,0,441471,7,1,False,25099474,892224
769575,886972,as-733,8,20,16,1,timeout,1470,3131,0,441471,11,1,False,25099474,892224
1188738,886972,as-733,8,20,16,1,timeout,1470,3131,0,441471,6,1,False,25099474,892224
1259055,886972,as-733,8,20,16,1,timeout,1470,3131,0,441471,10,1,False,25099474,892224
376723,886972,as-733,8,20,16,1,timeout,1470,3131,0,441471,2,1,False,25099474,892224
387320,886972,as-733,8,20,16,1,timeout,1470,3131,0,441471,14,1,False,25099474,892224
427197,886972,as-733,8,20,16,1,timeout,1470,3131,0,441471,13,1,False,25099474,892224
4291065,886972,as-733,8,20,16,1,timeout,1470,3131,0,441471,3,1,True,25099474,892224
591944,21680,rocketfuel-bb-AS-3257,8,20,16,1,timeout,161,328,0,46248,16,1,False,10503739,156032
317517,21680,rocketfuel-bb-AS-3257,8,20,16,1,timeout,161,328,0,46248,5,1,False,10503739,156032
600577,21680,rocketfuel-bb-AS-3257,8,20,16,1,timeout,161,328,0,46248,4,1,False,10503739,156032
360831,21824,rocketfuel-bb-AS-3257,8,20,16,1,timeout,161,328,0,46248,1,1,False,10503739,156032
296813,21680,rocketfuel-bb-AS-3257,8,20,16,1,timeout,161,328,0,46248,9,1,False,10503739,156032
708852,21824,rocketfuel-bb-AS-3257,8,20,16,1,timeout,161,328,0,46248,8,1,True,10503739,156032
896354,21680,rocketfuel-bb-AS-3257,8,20,16,1,timeout,161,328,0,46248,12,1,False,10503739,156032
970264,21680,rocketfuel-bb-AS-3257,8,20,16,1,timeout,161,328,0,46248,15,1,False,10503739,156032
717639,21680,rocketfuel-bb-AS-3257,8,20,16,1,timeout,161,328,0,46248,7,1,False,10503739,156032
684310,21680,rocketfuel-bb-AS-3257,8,20,16,1,timeout,161,328,0,46248,11,1,False,10503739,156032
696701,21824,rocketfuel-bb-AS-3257,8,20,16,1,timeout,161,328,0,46248,6,1,True,10503739,156032
332563,21680,rocketfuel-bb-AS-3257,8,20,16,1,timeout,161,328,0,46248,10,1,False,10503739,156032
295161,21680,rocketfuel-bb-AS-3257,8,20,16,1,timeout,161,328,0,46248,2,1,False,10503739,156032
518350,21680,rocketfuel-bb-AS-3257,8,20,16,1,timeout,161,328,0,46248,14,1,False,10503739,156032
1059153,21824,rocketfuel-bb-AS-3257,8,20,16,1,timeout,161,328,0,46248,13,1,True,10503739,156032
1282922,21824,rocketfuel-bb-AS-3257,8,20,16,1,timeout,161,328,0,46248,3,1,True,10503739,156032
313444,9452,rocketfuel-bb-AS-1221,4,20,16,1,timeout,108,153,0,21573,16,1,False,7817231,143948
384393,9452,rocketfuel-bb-AS-1221,4,20,16,1,timeout,108,153,0,21573,5,1,True,7817231,143948
