overall_lat,rewind_lat,rewind_injections,pkt_lat,drop_lat,timeout,lbs,servers,algorithm,procs,drop_method,num_nodes,num_links,num_updates,total_conn,invariant,independent_cec,violated
2278123,2101170,4,150,0,221,4,4,sh,1,timeout,26,25,0,128,1,1,False
168889,8,-1,121,0,223,4,4,sh,1,timeout,26,25,0,128,1,1,False
2259758,2091259,3,142,0,219,4,4,sh,1,timeout,26,25,0,128,1,1,False
159468,8,-1,133,0,216,4,4,sh,1,timeout,26,25,0,128,1,1,False
159548,7,-1,117,0,201,4,4,sh,1,timeout,26,25,0,128,1,1,False
2279332,2028484,4,123,0,221,4,4,sh,1,timeout,26,25,0,128,1,1,False
176071,9,-1,142,0,210,4,4,sh,1,timeout,26,25,0,128,1,1,False
1672582,1495774,1,133,0,202,4,4,sh,1,timeout,26,25,0,128,1,1,False
239220,7,-1,122,0,192,4,4,sh,1,timeout,26,25,0,128,1,1,False
413287,8,-1,151,0,190,4,4,sh,1,timeout,26,25,0,128,1,1,False
177371,8,-1,130,0,199,4,4,sh,1,timeout,26,25,0,128,1,1,False
201138,7,-1,164,0,194,4,4,sh,1,timeout,26,25,0,128,1,1,False
2044605,1884417,4,175,0,206,4,4,sh,1,timeout,26,25,0,128,1,1,False
176108,7,-1,162,0,232,4,4,sh,1,timeout,26,25,0,128,1,1,False
1935417,1707526,3,89,0,232,4,4,sh,1,timeout,26,25,0,128,1,1,False
192829,9,-1,111,0,257,4,4,sh,1,timeout,26,25,0,128,1,1,False
176262,7,-1,129,0,253,4,4,sh,1,timeout,26,25,0,128,1,1,False
2502656,2325978,4,110,0,223,4,4,sh,1,timeout,26,25,0,128,1,1,False
227316,7,-1,148,0,224,4,4,sh,1,timeout,26,25,0,128,1,1,False
1983370,1781843,3,134,0,225,4,4,sh,1,timeout,26,25,0,128,1,1,False
201052,7,-1,134,0,214,4,4,sh,1,timeout,26,25,0,128,1,1,False
167677,7,-1,159,0,203,4,4,sh,1,timeout,26,25,0,128,1,1,False
2327124,2150415,4,147,0,257,4,4,sh,1,timeout,26,25,0,128,1,1,False
168883,8,-1,156,0,243,4,4,sh,1,timeout,26,25,0,128,1,1,False
1757569,1596137,2,110,0,241,4,4,sh,1,timeout,26,25,0,128,1,1,False
167799,8,-1,123,0,241,4,4,sh,1,timeout,26,25,0,128,1,1,False
176118,8,-1,162,0,230,4,4,sh,1,timeout,26,25,0,128,1,1,False
184392,8,-1,112,0,246,4,4,sh,1,timeout,26,25,0,128,1,1,False
2521102,2335776,4,137,0,242,4,4,sh,1,timeout,26,25,0,128,1,1,False
167872,7,-1,156,0,228,4,4,sh,1,timeout,26,25,0,128,1,1,False
1993169,1807903,3,135,0,222,4,4,sh,1,timeout,26,25,0,128,1,1,False
176060,8,-1,163,0,213,4,4,sh,1,timeout,26,25,0,128,1,1,False
160525,7,-1,102,0,235,4,4,sh,1,timeout,26,25,0,128,1,1,False
2344517,2125880,4,134,0,236,4,4,sh,1,timeout,26,25,0,128,1,1,False
184182,8,-1,134,0,225,4,4,sh,1,timeout,26,25,0,128,1,1,False
2310828,2116124,3,146,0,192,4,4,sh,1,timeout,26,25,0,128,1,1,False
200935,8,-1,137,0,193,4,4,sh,1,timeout,26,25,0,128,1,1,False
