ec_time,ec_mem,overall_lat,emu_startup,rewind,emu_reset,replay,rewind_injections,pkt_lat,drop_lat,timeout,apps,hosts,procs,drop_method,fault,num_nodes,num_links,num_updates,total_conn,invariant,independent_cec,violated,total_time,total_mem
450598,223400,219610,189609,36,0,0,-1,75,0,249,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
447254,223400,216509,184205,39,0,0,-1,150,0,267,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
447254,223400,203965,171080,42,0,0,-1,98,0,298,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
392749,223400,163660,133182,36,0,0,-1,103,0,267,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
392749,223400,201094,170919,31,0,0,-1,77,0,249,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
414490,223400,195579,175966,30,0,0,-1,96,0,267,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
414490,223400,195400,165280,37,0,0,-1,112,0,237,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
458506,223400,216015,195955,37,0,0,-1,101,0,267,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
458506,223400,222091,192611,34,0,0,-1,65,0,243,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
425962,223400,208808,189520,44,0,0,-1,130,0,267,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
425962,223400,186174,166879,33,0,0,-1,71,0,274,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
400088,223400,197942,175391,51,0,0,-1,156,0,267,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
400088,223400,177730,158788,28,0,0,-1,75,0,304,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
448438,223400,214817,182741,45,0,0,-1,183,0,267,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
448438,223400,210361,179752,49,0,0,-1,74,0,340,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
400675,223400,196554,165394,27,0,0,-1,156,0,267,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
400675,223400,180040,160051,28,0,0,-1,56,0,304,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
398914,223400,180157,160709,32,0,0,-1,139,0,267,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
398914,223400,196301,176710,37,0,0,-1,109,0,286,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
480818,223400,246582,216207,36,0,0,-1,103,0,267,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
480818,223400,207851,175916,34,0,0,-1,105,0,249,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
448444,223400,204680,174132,32,0,0,-1,143,0,267,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
448444,223400,214503,183955,35,0,0,-1,73,0,292,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
462843,223400,262608,231459,34,0,0,-1,149,0,267,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
462843,223400,174373,154700,37,0,0,-1,79,0,298,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
439546,223400,224312,204988,39,0,0,-1,146,0,267,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
439546,223400,196812,165943,33,0,0,-1,120,0,292,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
444822,223400,203916,173263,30,0,0,-1,132,0,267,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
